address	type	comment
10046598	PRE	56  _grRenderBuffer@4  <<not bound>>
1004659c	PRE	22  _grCullMode@4  <<not bound>>
100465a0	PRE	25  _grDepthBufferMode@4  <<not bound>>
100465a4	PRE	24  _grDepthBufferFunction@4  <<not bound>>
100465a8	PRE	26  _grDepthMask@4  <<not bound>>
100465ac	PRE	38  _grFogMode@4  <<not bound>>
100465b0	PRE	41  _grGlideGetState@4  <<not bound>>
100465b4	PRE	6  _grAlphaBlendFunction@16  <<not bound>>
100465b8	PRE	18  _grColorCombine@20  <<not bound>>
100465bc	PRE	21  _grConstantColorValue@4  <<not bound>>
