address	length	data_type	value
10037e08	61	string	cchCount1==0 && cchCount2==1 || cchCount1==1 && cchCount2==0
10037e60	9	string	setenv.c
10038770	16	TerminatedCString	win32_glide.dll
10038780	37	TerminatedCString	?deallocate_winsys@@YAXPAVWinsys@@@Z
100387a5	14	TerminatedCString	detect_winsys
100387b3	19	TerminatedCString	instantiate_winsys
100387c6	13	TerminatedCString	process_exit
10039d50	57	string	D:\\ntank_cur_(with_super_server)\\client\\render_utils.cpp
10039d8c	19	string	r->clip_min_x >= 0
10039da0	57	string	D:\\ntank_cur_(with_super_server)\\client\\render_utils.cpp
10039ddc	25	string	r->clip_max_x < r->width
10039df8	57	string	D:\\ntank_cur_(with_super_server)\\client\\render_utils.cpp
10039e34	19	string	r->clip_min_y >= 0
10039e48	57	string	D:\\ntank_cur_(with_super_server)\\client\\render_utils.cpp
10039e84	26	string	r->clip_max_y < r->height
10039f48	38	string	Glide v2.43 (3dfx-specific rendering)
10039f70	59	string	Glide v2.43, Voodoo2 Enhanced (Two-Fisted TMUs of Terror!)
10039fac	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
10039ff0	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a034	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a074	8	string	x0 < x1
1003a07c	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a0bc	8	string	y0 < y1
1003a0c4	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a108	12	string	Shock Force
1003a114	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a154	11	string	hwnd!=NULL
1003a160	11	string	WRITE_ONLY
1003a16c	10	string	READ_ONLY
1003a178	8	string	UNKNOWN
1003a180	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a1c0	29	string	g->the_winsys->should_render
1003a1e0	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a220	11	string	oow <= 1.0
1003a22c	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a26c	23	string	oow >= (1.0 / 65535.0)
1003a284	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a2c4	21	string	!sys->not_yet_inited
1003a2dc	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a31c	21	string	hwnd == sys->my_hwnd
1003a334	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a374	10	string	hwnd != 0
1003a380	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a3c4	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a404	29	string	g->the_winsys->should_render
1003a424	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a464	19	string	sys->should_render
1003a478	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a4b8	29	string	g->the_winsys->should_render
1003a4d8	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a518	29	string	g->the_winsys->should_render
1003a538	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a578	29	string	g->the_winsys->should_render
1003a598	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a5d8	29	string	g->the_winsys->should_render
1003a5f8	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a638	29	string	g->the_winsys->should_render
1003a658	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a698	9	string	r >= 0.0
1003a6a4	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a6e4	11	string	r <= 255.0
1003a6f0	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a730	29	string	g->the_winsys->should_render
1003a750	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a790	29	string	g->the_winsys->should_render
1003a7b0	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a7f0	29	string	g->the_winsys->should_render
1003a810	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a850	29	string	g->the_winsys->should_render
