address	length	data_type	value
005437f4	56	string	[NET] FD_UDP: %3d [%s] (Net::init_multi_udp_ip_accept)\n
0054382c	29	string	Net::init_accept getsockname
0054384c	17	string	Net::init_accept
00543860	17	string	unsupported type
00543874	24	string	Net::init_accept listen
0054388c	28	string	Net::init_accept setsockopt
005438a8	36	string	Net::core_connect (UDP) getsockname
005438cc	24	string	Net::core_connect (UDP)
005438e4	18	string	makesocket fails.
005438f8	26	string	Net::core_connect connect
00543914	23	string	Net::core_connect bind
0054392c	17	string	Net:core_connect
00543940	25	string	not TCP or UDP specified
0054395c	24	string	net.cpp: Net::connect()
00543980	45	string	Can't split up the packet over TWO DATAGRAMs
005439b0	56	string	Mem_buff::make_room (target bytes: %d) > (max bytes %d)
005439e8	41	string	This is most likely a protocol missmatch
00543a14	56	string	Mem_buff::retrieve_bits out of hunks while reading [%s]
00543a4c	52	string	Mem_buff::grab_data out of hunks while reading [%s]
00543a80	34	string	%s %d:  Had to fix a string '%s'\n
00543aa4	20	string	..\\net\\mem_buff.cpp
00543ab8	59	string	Mem_buff::skip_bytes out of hunks while skipping data [%s]
00543af4	16	string	not initialized
00543b04	45	string	setup should not be finalized at this time.\n
00543b38	73	string	send_start: unresolved service request (%x) for packet %s (%d) [%s: %d]\n
00543b84	20	string	..\\net\\protocol.cpp
00543b98	46	string	send_start: inf.c is NULL, and should not be\n
00543bc8	28	string	packet type is not in range
00543be4	43	string	Proto::handler [%s, %d] <packet type = %d>
00543c10	24	string	Proto::protocol_error()
00543c28	12	string	%s [%s, %d]
00543c34	13	string	default_recv
00543c44	33	string	in range packet, but not defined
00543c68	72	string	send_stop: unresolved service request (%x) for packet %s (%d) [%s: %d]\n
00543cb0	17	string	Stream::expect()
00543cc4	57	string	packet size > MAX_STREAM_DATA (probably a protcol error)
00543d00	40	string	Stream::expect:  bad packet length: %d\n
00543d28	15	string	are you there?
00543d38	13	string	STREAM_CHECK
00543d48	26	string	null packet received: %s\n
00543d64	54	string	Stream::recv() --> abort_this_connection_immediately\n
00543da0	65	string	Stream::recv() --> (type %d < %d --> support packet not allowed\n
00543de4	38	string	\tNo Packets Sent Over This Interface\n
00543e0c	43	string	%+20s : %12.4f : %12.4f : %12.4f : %12.0f\n
00543e38	68	string	%+20s    Packets/Sec      Bytes/Sec      Bytes/Pac      Bits Total\n
00543e7c	12	string	packet type
00543e88	30	string	Time Spent For This Con is 0\n
00543ea8	12	string	DGP Traffic
00543eb4	24	string	(Duration: %.3f secs)\n\n
00543ecc	12	string	STP Traffic
00543ed8	41	string	\n\nNetwork Traffic Profile For Con [%x]:\s
00543f04	12	string	/tmp/%s.not
00543f10	51	string	%s:%d File_Out::add(%x, %d) (%d > (buff_size %d))\n
00543f44	21	string	..\\net\\net_delay.cpp
00543f5c	6	string	%s_%d
00543f64	13	string	Unkown Error
00543f74	19	string	WSANOTINITIALISED:
00543f88	20	string	WSAVERNOTSUPPORTED:
00543f9c	16	string	WSASYSNOTREADY:
00543fac	12	string	WSAEDISCON:
00543fb8	12	string	WSAEREMOTE:
00543fc4	11	string	WSAESTALE:
00543fd0	11	string	WSAEDQUOT:
